University,#CS Faculty
▶︎ Carnegie Mellon University ◉,150
▶︎ Univ. of Illinois at Urbana-Champaign ◉,84
▶︎ Massachusetts Institute of Technology ◉,82
▶︎ University of California - Berkeley ◉,81
▶︎ Georgia Institute of Technology ◉,75
▶︎ Cornell University ◉,68
▶︎ University of Michigan ◉,63
▶︎ University of Washington ◉,56
▶︎ University of California - San Diego ◉,54
▶︎ Stanford University ◉,54
▶︎ University of California - Irvine ◉,54
▶︎ Princeton University ◉,51
▶︎ Purdue University ◉,51
▶︎ University of Massachusetts Amherst ◉,50
▶︎ University of Southern California ◉,50
